	Kai	Hannes	Daniel	Linda	Hildegard
time	2018-07-27 02:50:27.207018	2018-07-27 02:50:54.447323	2018-07-27 02:51:22.161393	2018-07-27 02:51:49.880724	2018-07-27 02:52:39.425576
site	zalando.de	zalando.de	zalando.de	zalando.de	zalando.de
/erima-razor-2-0-teamwear-new-royal-black-white-1er42d039-k11.html	44,95	44,95	44,95	44,95	44,95
/adidas-performance-questar-tnd-laufschuh-neutral-carbonclaquablack-ad541a15f-q11.html	58,45	58,45	58,45	58,45	58,45
/soliver-black-label-blazer-greyblack-soa21g01o-c11.html	139,95	139,95	139,95	139,95	139,95
/wrangler-ringer-tee-t-shirt-print-faded-black-wr122o00w-q11.html	34,95	34,95	34,95	34,95	34,95
/fratelli-rossetti-slipper-black-f1512m004-q11.html	292,95	292,95	292,95	292,95	292,95
