	Kai	Hannes	Daniel	Linda	Hildegard
time	2018-08-11 08:36:04.765653	2018-08-11 08:36:25.570507	2018-08-11 08:36:46.235890	2018-08-11 08:37:33.706205	2018-08-11 08:40:22.190802
site	otto.de	otto.de	otto.de	otto.de	otto.de
/p/nike-sportswear-air-max-nostalgic-sneaker-610416362/#variationId=610417633	89,99	89,99	89,99	89,99	89,99
/p/tom-tailor-denim-slim-fit-jeans-slim-aedan-623897815/#variationId=623905217	48,99	48,99	48,99	48,99	48,99
/p/studio-coletti-baukastensakko-nizza-338497370/#variationId=338501916	76,99	76,99	76,99	76,99	76,99
/p/kangaroos-parka-in-leichter-qualitaet-mit-vielen-details-606357911/#variationId=606357912	59,99	59,99	59,99	59,99	59,99
/p/rosefield-quarzuhr-west-village-wspr-w73-592473167/#variationId=592319868	99,00	99,00	99,00	99,00	99,00
