	Kai	Hannes	Daniel	Linda	Hildegard
time	2018-08-08 05:46:06.385448	2018-08-08 05:46:33.478005	2018-08-08 05:47:00.753009	2018-08-08 05:47:27.943039	2018-08-08 05:47:54.262919
site	zalando.de	zalando.de	zalando.de	zalando.de	zalando.de
/erima-razor-2-0-teamwear-new-royal-black-white-1er42d039-k11.html	47,95	47,95	47,95	47,95	47,95
/adidas-performance-questar-tnd-laufschuh-neutral-carbonclaquablack-ad541a15f-q11.html	58,45	58,45	58,45	58,45	58,45
/soliver-black-label-blazer-greyblack-soa21g01o-c11.html	139,95	139,95	139,95	139,95	139,95
/wrangler-ringer-tee-t-shirt-print-faded-black-wr122o00w-q11.html	34,95	34,95	34,95	34,95	34,95
/fratelli-rossetti-slipper-black-f1512m004-q11.html	337,95	337,95	337,95	337,95	337,95
