	Kai
time	2018-07-17 13:22:28.355445
site	amazon.de
https://www.amazon.de/dp/B01M3015CT/ref=gw_tabl_Sz_C2_PD18?pf_rd_p=1fa4b2f2-8933-45de-8b78-1526d6fb3822&pf_rd_r=T4JV69Y9JCV28W5TCZE8	99,99
