	Kai	Hannes	Daniel	Linda	Hildegard
time	2018-08-08 06:28:09.809332	2018-08-08 06:28:30.347833	2018-08-08 06:28:51.777351	2018-08-08 06:29:13.060100	2018-08-08 06:29:43.665828
site	zalando.de	zalando.de	zalando.de	zalando.de	zalando.de
/erima-razor-2-0-teamwear-new-royal-black-white-1er42d039-k11.html	47,95	47,95	47,95	47,95	47,95
/adidas-performance-questar-tnd-laufschuh-neutral-carbonclaquablack-ad541a15f-q11.html	58,45	58,45	58,45	58,45	58,45
/soliver-black-label-blazer-greyblack-soa21g01o-c11.html	139,95	139,95	139,95	139,95	139,95
/wrangler-ringer-tee-t-shirt-print-faded-black-wr122o00w-q11.html	34,95	34,95	34,95	34,95	34,95
/fratelli-rossetti-slipper-black-f1512m004-q11.html	337,95	337,95	337,95	337,95	337,95
