	Kai	Hannes	Daniel	Linda	Hildegard
time	2018-08-11 05:57:14.760702	2018-08-11 05:57:37.289160	2018-08-11 05:57:59.437626	2018-08-11 05:58:20.336847	2018-08-11 05:58:41.303481
site	zalando.de	zalando.de	zalando.de	zalando.de	zalando.de
/erima-razor-2-0-teamwear-new-royal-black-white-1er42d039-k11.html	47,95	47,95	47,95	47,95	47,95
/adidas-performance-questar-tnd-laufschuh-neutral-carbonclaquablack-ad541a15f-q11.html	49,45	49,45	49,45	49,45	49,45
/soliver-black-label-blazer-greyblack-soa21g01o-c11.html	139,95	139,95	139,95	139,95	139,95
/wrangler-ringer-tee-t-shirt-print-faded-black-wr122o00w-q11.html	31,45	31,45	31,45	31,45	31,45
/fratelli-rossetti-slipper-black-f1512m004-q11.html	337,95	337,95	337,95	337,95	337,95
