	Kai	Hannes	Daniel	Linda	Hildegard
time	2018-08-11 05:17:10.680281	2018-08-11 05:17:42.835212	2018-08-11 05:18:13.909794	2018-08-11 05:18:45.978359	2018-08-11 05:19:16.867987
site	esprit.de	esprit.de	esprit.de	esprit.de	esprit.de
/maedchenmode/web-kleid-mit-ethno-print-und-pompon-details-RL3027304_403	29,99	29,99	29,99	29,99	29,99
/sale/damen-sale/pullover-strickjacken/pullover/pullover-aus-baumwolle-mit-punkte-print-038CC1I024_400	00,00	00,00	00,00	00,00	00,00
/herren-hemden/kurzarmhemd-mit-allover-print-aus-baumwolle-058EE2F001_330	19,99	19,99	19,99	19,99	19,99
/herren-diverses/diverses/sonnenbrillen/sonnenbrille-im-material-mix-39032S_505	49,90	49,90	49,90	49,90	49,90
/damenmode/bekleidung/online-exclusive/taillierte-jeans-jacke-im-biker-stil-078EE1G002_921	79,99	79,99	79,99	79,99	79,99
