	Kai	Hannes	Daniel	Linda	Hildegard
time	2018-08-11 05:22:03.437541	2018-08-11 05:22:33.580092	2018-08-11 05:23:03.572856	2018-08-11 05:23:32.502064	2018-08-11 05:24:10.084215
site	mediamarkt.de	mediamarkt.de	mediamarkt.de	mediamarkt.de	mediamarkt.de
/de/product/_sony-ps4-wireless-dualshock-4-redesigned-2187302.html	55,99	55,99	55,99	55,99	00,00
/de/product/_brother-hl-3152cdw-1957620.html	182,99	182,99	182,99	182,99	00,00
/de/product/_playstation-4-1tb-schwarz-fifa-18-2-dualshock4-controller-ps-plus-14-tage-playstation-4-konsolen-2324918.html	369,00	369,00	369,00	369,00	369,00
/de/product/_yamaha-piagerro-np-12wh-2102755.html	229,00	229,00	229,00	229,00	00,00
/de/product/_bosch-wtw875w0-1949527.html	685,00	685,00	685,00	685,00	00,00
