	Kai	Hannes	Daniel	Linda	Hildegard
time	2018-07-17 18:36:42.907069	2018-07-17 18:38:47.253951	2018-07-17 18:39:35.086097	2018-07-17 18:43:35.371428	2018-07-17 18:46:07.977305
site	amazon.de	amazon.de	amazon.de	amazon.de	amazon.de
/dp/B01M3015CT/ref=gw_tabl_Sz_C2_PD18?pf_rd_p=1fa4b2f2-8933-45de-8b78-1526d6fb3822&pf_rd_r=T4JV69Y9JCV28W5TCZE8	99,99	99,99	99,99	99,99	99,99
/Samsung-Smartphone-Touch-Display-interner-Speicher-midnight-black/dp/B06XJ49G5B/ref=sr_1_1?m=A3JWKAKR8XB7XF&s=ce-de&ie=UTF8&qid=1531828932&sr=1-1&smid=A3JWKAKR8XB7XF	451,09	451,09	451,09	451,09	451,09
/Acer-S242HLDBID-Monitor-Reaktionszeit-schwarz/dp/B01AJTVCA8/ref=sr_1_1?ie=UTF8&qid=1531828998&sr=8-1&smid=A3JWKAKR8XB7XF	95,00	95,00	95,00	95,00	95,00
/FIND-Schuhe-Wallabees-Veloursleder-Kontrastnaht/dp/B06XCJ6Q76/ref=sr_1_5?s=prime-day-secondary&psr=PDAY&ie=UTF8&qid=1531829014&sr=1-5&keywords=schuhe	50,00	50,00	50,00	50,00	50,00
/Siemens-WM14W740-sensoFresh-Waschmaschine-varioPerfect/dp/B015T3OASA	729,00	729,00	729,00	729,00	729,00
