	0	1
/maedchenmode/web-kleid-mit-ethno-print-und-pompon-details-RL3027304_403	29,99	29,99
/sale/damen-sale/pullover-strickjacken/pullover/pullover-aus-baumwolle-mit-punkte-print-038CC1I024_400	19,99	19,99
https://www.esprit.de/herren-hemden/kurzarmhemd-mit-allover-print-aus-baumwolle-058EE2F001_330	35,99	35,99
