	Linda	Hildegard	Kai	Hannes	Daniel
time	2018-07-18 13:23:41.505181	2018-07-18 13:24:39.679482	2018-07-18 13:25:03.773953	2018-07-18 13:25:29.804453	2018-07-18 13:25:54.351836
site	zalando.de	zalando.de	zalando.de	zalando.de	zalando.de
/erima-razor-2-0-teamwear-new-royal-black-white-1er42d039-k11.html	35,95	35,95	35,95	35,95	35,95
/adidas-performance-questar-tnd-laufschuh-neutral-carbonclaquablack-ad541a15f-q11.html	62,95	62,95	62,95	62,95	62,95
/soliver-black-label-blazer-greyblack-soa21g01o-c11.html	139,95	139,95	139,95	139,95	139,95
/wrangler-ringer-tee-t-shirt-print-faded-black-wr122o00w-q11.html	34,95	34,95	34,95	34,95	34,95
/fratelli-rossetti-slipper-black-f1512m004-q11.html	292,95	292,95	292,95	292,95	292,95
