	Linda	Hildegard	Kai	Hannes	Daniel
time	2018-07-18 13:34:28.841310	2018-07-18 13:35:20.006125	2018-07-18 13:36:00.121076	2018-07-18 13:36:48.547372	2018-07-18 13:37:24.205600
site	amazon.de	amazon.de	amazon.de	amazon.de	amazon.de
/dp/B01M3015CT/ref=gw_tabl_Sz_C2_PD18?pf_rd_p=1fa4b2f2-8933-45de-8b78-1526d6fb3822&pf_rd_r=T4JV69Y9JCV28W5TCZE8	00,00	149,99	149,99	149,99	149,99
/Samsung-Smartphone-Touch-Display-interner-Speicher-midnight-black/dp/B06XJ49G5B/ref=sr_1_1?m=A3JWKAKR8XB7XF&s=ce-de&ie=UTF8&qid=1531828932&sr=1-1&smid=A3JWKAKR8XB7XF	00,00	441,00	441,00	441,00	449,00
/Acer-S242HLDBID-Monitor-Reaktionszeit-schwarz/dp/B01AJTVCA8/ref=sr_1_1?ie=UTF8&qid=1531828998&sr=8-1&smid=A3JWKAKR8XB7XF	00,00	00,00	00,00	00,00	00,00
/FIND-Schuhe-Wallabees-Veloursleder-Kontrastnaht/dp/B06XCJ6Q76/ref=sr_1_5?s=prime-day-secondary&psr=PDAY&ie=UTF8&qid=1531829014&sr=1-5&keywords=schuhe	00,00	50,00	50,00	50,00	50,00
/Siemens-WM14W740-sensoFresh-Waschmaschine-varioPerfect/dp/B015T3OASA	00,00	729,00	729,00	729,00	729,00
