	Linda	Hildegard	Kai	Hannes	Daniel
time	2018-07-18 13:26:27.542576	2018-07-18 13:27:51.428960	2018-07-18 13:28:20.968859	2018-07-18 13:28:53.660920	2018-07-18 13:29:24.141903
site	mediamarkt.de	mediamarkt.de	mediamarkt.de	mediamarkt.de	mediamarkt.de
/de/product/_sony-ps4-wireless-dualshock-4-redesigned-2187302.html	55,99	55,99	55,99	55,99	55,99
/de/product/_brother-hl-3152cdw-1957620.html	182,99	182,99	182,99	182,99	182,99
/de/product/_playstation-4-1tb-schwarz-fifa-18-2-dualshock4-controller-ps-plus-14-tage-playstation-4-konsolen-2324918.html	369,00	369,00	369,00	369,00	369,00
/de/product/_yamaha-piagerro-np-12wh-2102755.html	225,99	225,99	225,99	225,99	225,99
/de/product/_bosch-wtw875w0-1949527.html	685,00	685,00	685,00	685,00	685,00
