	Linda	Hildegard	Kai	Hannes	Daniel
time	2018-07-18 13:16:21.397733	2018-07-18 13:17:45.208532	2018-07-18 13:18:18.664074	2018-07-18 13:19:03.191810	2018-07-18 13:19:52.904101
site	cyberport.de	cyberport.de	cyberport.de	cyberport.de	cyberport.de
/markenshops/outlet/restposten-a-ware-/pdp/1h62-020/apple-ipad-2017-wi-fi-32-gb-spacegrau-mp2f2fd-a-.html	295,00	295,00	295,00	295,00	295,00
/markenshops/outlet/restposten-a-ware-/notebook-tablet/pdp/1h54-015/huawei-mediapad-m3-tablet-wifi-32-gb-android-6-0-silber.html	299,00	299,00	299,00	299,00	299,00
/notebook-und-tablet/notebooks/huawei/pdp/1ce3-004/huawei-matebook-x-pro-w19c-notebook-grau-i5-8250u-ssd-3k-gf-mx150-windows-10.html	1499,00	1499,00	1499,00	1499,00	1499,00
/tv-audio/fernseher/samsung/pdp/7910-9qv/samsung-ue75nu8009-189cm-75-4k-uhd-smart-fernseher.html	2655,00	2655,00	2655,00	2655,00	2655,00
/pc-und-zubehoer/pc-systeme/alle-pc-systeme/raspberry/pdp/1123-00g/raspberry-pi-3-modell-b-1-gb.html	34,90	34,90	34,90	34,90	34,90
