	Kai	Hannes	Daniel	Linda	Hildegard
time	2018-07-17 14:47:20.700135	2018-07-17 14:47:46.494291	2018-07-17 14:48:11.915321	2018-07-17 14:49:08.723574	2018-07-17 14:49:39.380060
site	zalando.de	zalando.de	zalando.de	zalando.de	zalando.de
/erima-razor-2-0-teamwear-new-royal-black-white-1er42d039-k11.html					
/adidas-performance-questar-tnd-laufschuh-neutral-carbonclaquablack-ad541a15f-q11.html					
/soliver-black-label-blazer-greyblack-soa21g01o-c11.html	00,00	00,00	00,00	00,00	00,00
/wrangler-ringer-tee-t-shirt-print-faded-black-wr122o00w-q11.html	00,00	00,00	00,00	00,00	00,00
/fratelli-rossetti-slipper-black-f1512m004-q11.html					
