	Kai	Hannes	Daniel	Linda	Hildegard
time	2018-07-17 14:50:11.894235	2018-07-17 14:50:44.271687	2018-07-17 14:51:14.895740	2018-07-17 14:52:12.755569	2018-07-17 14:54:50.472015
site	mediamarkt.de	mediamarkt.de	mediamarkt.de	mediamarkt.de	mediamarkt.de
/de/product/_sony-ps4-wireless-dualshock-4-redesigned-2187302.html	99	99	99	99	99
/de/product/_brother-hl-3152cdw-1957620.html	99	99	99	99	99
/de/product/_playstation-4-1tb-schwarz-fifa-18-2-dualshock4-controller-ps-plus-14-tage-playstation-4-konsolen-2324918.html	369,-	369,-	369,-	369,-	369,-
/de/product/_yamaha-piagerro-np-12wh-2102755.html	99	99	99	99	99
/de/product/_bosch-wtw875w0-1949527.html	685,-	685,-	685,-	685,-	685,-
