	Kai	Hannes	Daniel	Linda	Hildegard
time	2018-07-17 15:01:00.555946	2018-07-17 15:01:47.917545	2018-07-17 15:02:25.099141	2018-07-17 15:03:17.141859	2018-07-17 15:04:20.326208
site	amazon.de	amazon.de	amazon.de	amazon.de	amazon.de
/dp/B01M3015CT/ref=gw_tabl_Sz_C2_PD18?pf_rd_p=1fa4b2f2-8933-45de-8b78-1526d6fb3822&pf_rd_r=T4JV69Y9JCV28W5TCZE8	99,99	99,99	99,99	99,99	99,99
/Samsung-Smartphone-Touch-Display-interner-Speicher-midnight-black/dp/B06XJ49G5B/ref=sr_1_1?m=A3JWKAKR8XB7XF&s=ce-de&ie=UTF8&qid=1531828932&sr=1-1&smid=A3JWKAKR8XB7XF	00,00	00,00	00,00	00,00	00,00
/Acer-S242HLDBID-Monitor-Reaktionszeit-schwarz/dp/B01AJTVCA8/ref=sr_1_1?ie=UTF8&qid=1531828998&sr=8-1&smid=A3JWKAKR8XB7XF	95,00	95,00	95,00	95,00	95,00
/FIND-Schuhe-Wallabees-Veloursleder-Kontrastnaht/dp/B06XCJ6Q76/ref=sr_1_5?s=prime-day-secondary&psr=PDAY&ie=UTF8&qid=1531829014&sr=1-5&keywords=schuhe	00,00	00,00	00,00	00,00	00,00
/Siemens-WM14W740-sensoFresh-Waschmaschine-varioPerfect/dp/B015T3OASA	00,00	00,00	00,00	00,00	00,00
