	Kai	Hannes	Daniel	Linda	Hildegard
time	2018-07-18 15:57:21.660674	2018-07-18 15:57:52.359576	2018-07-18 15:58:17.965814	2018-07-18 15:58:42.093820	2018-07-18 15:59:09.338404
site	zalando.de	zalando.de	zalando.de	zalando.de	zalando.de
/erima-razor-2-0-teamwear-new-royal-black-white-1er42d039-k11.html	35,95	35,95	35,95	35,95	35,95
/adidas-performance-questar-tnd-laufschuh-neutral-carbonclaquablack-ad541a15f-q11.html	62,95	62,95	62,95	62,95	62,95
/soliver-black-label-blazer-greyblack-soa21g01o-c11.html	139,95	139,95	139,95	139,95	139,95
/wrangler-ringer-tee-t-shirt-print-faded-black-wr122o00w-q11.html	34,95	34,95	34,95	34,95	34,95
/fratelli-rossetti-slipper-black-f1512m004-q11.html	292,95	292,95	292,95	292,95	292,95
